objid,class,u,g,r,i,z,specObjID,spectrum
1237648721756881161,GALAXY,19.41025,17.92987,17.12036,16.67929,16.37098,305293728694691840,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0636.fits
1237648721756946608,GALAXY,19.39751,17.40498,16.38186,15.93406,15.55752,305294278450505728,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0638.fits
1237654669201768534,GALAXY,19.90911,17.96054,16.9334,16.51048,16.15169,306248380638586880,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0013.fits
1237648720146858153,GALAXY,19.68392,18.30873,17.54401,17.11649,16.8131,306249480150214656,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0017.fits
1237651800163352702,GALAXY,19.89151,18.15112,17.15907,16.66994,16.30767,306249755028121600,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0018.fits
1237648721220731068,GALAXY,19.15022,18.10318,17.78835,17.54248,17.39838,306251129417656320,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0023.fits
1237648721220796580,GALAXY,19.66017,18.44883,17.78959,17.40504,17.1684,306252778685097984,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0029.fits
1237648721220796534,GALAXY,19.40735,17.79813,17.0062,16.59156,16.29273,306253603318818816,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0032.fits
1237648721220862085,GALAXY,19.21132,17.85704,17.15495,16.71822,16.42135,306253878196725760,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0033.fits
1237648721220862102,GALAXY,19.21931,17.4912,16.57856,16.12453,15.79362,306254153074632704,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0034.fits
1237648720683925739,GALAXY,19.59113,18.65172,17.80066,17.34825,17.0808,306254427952539648,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0035.fits
1237648721220862145,GALAXY,19.97583,18.45352,17.45481,16.97514,16.64359,306254977708353536,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0037.fits
1237648721220862050,GALAXY,19.53575,17.98447,17.06466,16.60122,16.2494,306255252586260480,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0038.fits
1237654669201571980,GALAXY,19.07975,17.81127,17.09147,16.63839,16.34116,306257176731609088,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0045.fits
1237648720146792732,GALAXY,19.08089,17.47936,16.6027,16.18297,15.84465,306259100876957696,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0052.fits
1237651800163221704,GALAXY,19.7796,17.71293,16.62648,16.14513,15.73213,306261299900213248,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0060.fits
